12:19:34:045 -> Direction:0
12:19:34:047 -> Servo_pos:1
12:19:34:047 -> Direction:0
12:19:34:047 -> Servo_pos:1
12:19:34:097 -> Direction:0
12:19:34:100 -> Servo_pos:1
12:19:34:100 -> Direction:0
12:19:34:100 -> Servo_pos:1
12:19:34:102 -> Direction:0
12:19:34:102 -> Servo_pos:1
12:19:34:105 -> Direction:0
12:19:34:105 -> Servo_pos:1
12:19:34:105 -> Direction:0
12:19:34:105 -> Servo_pos:1
12:19:34:110 -> Direction:0
12:19:34:112 -> Servo_pos:1
12:19:34:112 -> Direction:0
12:19:34:112 -> Servo_pos:1
12:19:34:115 -> Direction:0
12:19:34:115 -> Servo_pos:1
12:19:34:117 -> Direction:0
12:19:34:117 -> Servo_pos:1
12:19:34:117 -> Direction:0
12:19:34:120 -> Servo_pos:1
12:19:34:120 -> Direction:0
12:19:34:122 -> Servo_pos:1
12:19:34:122 -> Direction:0
12:19:34:122 -> Servo_pos:1
12:19:34:133 -> Direction:0
12:19:34:133 -> Servo_pos:1
12:19:34:192 -> Direction:0
12:19:34:192 -> Servo_pos:1
12:19:34:192 -> Direction:0
12:19:34:194 -> Servo_pos:1
12:19:34:194 -> Direction:0
12:19:34:196 -> Servo_pos:1
12:19:34:196 -> Direction:0
12:19:34:196 -> Servo_pos:1
12:19:34:199 -> Direction:0
12:19:34:199 -> Servo_pos:1
12:19:34:201 -> Direction:0
12:19:34:201 -> Servo_pos:1
12:19:34:201 -> Direction:0
12:19:34:204 -> Servo_pos:1
12:19:34:204 -> Direction:0
12:19:34:212 -> Servo_pos:1
12:19:34:212 -> Direction:0
12:19:34:212 -> Servo_pos:1
12:19:34:214 -> Direction:0
12:19:34:214 -> Servo_pos:1
12:19:34:214 -> Direction:0
12:19:34:214 -> Servo_pos:1
12:19:34:214 -> Direction:0
12:19:34:215 -> Servo_pos:1
12:19:34:215 -> Direction:0
12:19:34:216 -> Servo_pos:1
12:19:34:216 -> Direction:0
12:19:34:216 -> Servo_pos:1
12:19:34:219 -> Direction:0
12:19:34:219 -> Servo_pos:1
12:19:34:298 -> Direction:0
12:19:34:298 -> Servo_pos:1
12:19:34:298 -> Direction:0
12:19:34:300 -> Servo_pos:1
12:19:34:302 -> Direction:0
12:19:34:302 -> Servo_pos:1
12:19:34:302 -> Direction:0
12:19:34:305 -> Servo_pos:1
12:19:34:305 -> Direction:0
12:19:34:307 -> Servo_pos:1
12:19:34:307 -> Direction:0
12:19:34:307 -> Servo_pos:1
12:19:34:307 -> Direction:0
12:19:34:310 -> Servo_pos:1
12:19:34:312 -> Direction:0
12:19:34:312 -> Servo_pos:1
12:19:34:312 -> Direction:0
12:19:34:315 -> Servo_pos:1
12:19:34:315 -> Direction:0
12:19:34:317 -> Servo_pos:1
12:19:34:317 -> Direction:0
12:19:34:317 -> Servo_pos:1
12:19:34:320 -> Direction:0
12:19:34:320 -> Servo_pos:1
12:19:34:322 -> Direction:0
12:19:34:322 -> Servo_pos:1
12:19:34:322 -> Direction:0
12:19:34:325 -> Servo_pos:1
12:19:34:325 -> Direction:0
12:19:34:331 -> Servo_pos:1
12:19:34:331 -> Direction:0
12:19:34:331 -> Servo_pos:1
12:19:34:396 -> Direction:0
12:19:34:396 -> Servo_pos:1
12:19:34:398 -> Direction:0
12:19:34:398 -> Servo_pos:1
12:19:34:398 -> Direction:0
12:19:34:468 -> Servo_pos:1
12:19:34:468 -> Direction:0
12:19:34:470 -> Servo_pos:1
12:19:34:470 -> Direction:0
12:19:34:470 -> Servo_pos:1
12:19:34:473 -> Direction:0
12:19:34:473 -> Servo_pos:1
12:19:34:475 -> Direction:0
12:19:34:475 -> Servo_pos:1
12:19:34:475 -> Direction:0
12:19:34:477 -> Servo_pos:1
12:19:34:477 -> Direction:0
12:19:34:480 -> Servo_pos:1
12:19:34:480 -> Direction:0
12:19:34:480 -> Serv_pos:1
12:19:34:485 -> Direction:0
12:19:34:485 -> Servo_pos:1
12:19:34:485 -> Directio_pos:1
12:19:34:482 -> Direction:0
12:19:34:482 -> Servoon:0
12:19:34:488 -> Servo_pos:1
12:19:34:488 -> Direction:0
12:19:34:490 -> Servo_pos:1
12:19:34:490 -> Direction:0
12:19:34:490 -> Servo_pos:1
12:19:34:493 -> Direction:0
12:19:34:493 -> Servo_pos:1
12:19:34:502 -> Direction:0
12:19:34:502 -> Servo_pos:1
12:19:34:502 -> Direction:0
12:19:34:502 -> Servo_pos:1
12:19:34:561 -> Direction:0
12:19:34:561 -> Servo_pos:1
12:19:34:561 -> Direction:0
12:19:34:561 -> Servo_pos:1
12:19:34:564 -> Direction:0
12:19:34:564 -> Servo_pos:1
12:19:34:566 -> Direction:0
12:19:34:566 -> Servo_pos:1
12:19:34:566 -> Direction:0
12:19:34:569 -> Servo_pos:1
12:19:34:571 -> Direction:0
12:19:34:571 -> Servo_pos:1
12:19:34:571 -> Direction:0
12:19:34:574 -> Servo_pos:1
12:19:34:574 -> Direction:0
12:19:34:576 -> Servo_pos:1
12:19:34:576 -> Direction:0
12:19:34:576 -> Servo_pos:1
12:19:34:579 -> Direction:0
12:19:34:579 -> Servo_pos:1
12:19:34:581 -> Direction:0
12:19:34:581 -> Servo_pos:1
12:19:34:581 -> Direction:0
12:19:34:584 -> Servo_pos:1
12:19:34:584 -> Direction:0
12:19:34:586 -> Servo_pos:1
12:19:34:586 -> Direction:0
12:19:34:586 -> Servo_pos:1
12:19:34:589 -> Direction:0
12:19:34:589 -> Servo_pos:1
12:19:34:592 -> Direction:0
12:19:34:592 -> Servo_pos:1
12:19:34:592 -> Direction:0
12:19:34:594 -> Servo_pos:1
12:19:34:594 -> Direction:0
12:19:34:596 -> Servo_pos:1
12:19:34:596 -> Direction:0
12:19:34:596 -> Servo_pos:1
12:19:34:754 -> Direction:0
12:19:34:754 -> Servo_pos:1
12:19:34:757 -> Direction:0
12:19:34:757 -> Servo_pos:1
12:19:34:757 -> Direction:0
12:19:34:759 -> Servo_pos:1
12:19:34:759 -> Direction:0
12:19:34:761 -> Servo_pos:1
12:19:34:761 -> Direction:0
12:19:34:761 -> Servo_pos:1
12:19:34:766 -> Direction:0
12:19:34:766 -> Servo_pos:1
12:19:34:769 -> Direction:0
12:19:34:769 -> Servo_pos:1
12:19:34:769 -> Direction:0
12:19:34:771 -> Servo_pos:1
12:19:34:771 -> Direction:0
12:19:34:774 -> Servo_pos:1
12:19:34:774 -> Direction:0
12:19:34:774 -> Servo_pos:1
12:19:34:776 -> Direction:0
12:19:34:776 -> Servo_pos:1
12:19:34:779 -> Direction:0
12:19:34:779 -> Servo_pos:1
12:19:34:779 -> Direction:0
12:19:34:781 -> Servo_pos:1
12:19:34:781 -> Direction:0
12:19:34:784 -> Servo_pos:1
12:19:34:784 -> Direction:0
12:19:34:784 -> Servo_pos:1
12:19:34:786 -> Direction:0
12:19:34:789 -> Servo_pos:1
12:19:34:789 -> Direction:0
12:19:34:789 -> Servo_pos:1
12:19:34:834 -> Direction:0
12:19:34:834 -> Servo_pos:1
12:19:34:838 -> Direction:0
12:19:34:838 -> Servo_pos:1
12:19:34:838 -> Direction:0
12:19:34:838 -> Servo_pos:1
12:19:34:838 -> Direction:0
12:19:34:838 -> Servo_pos:1
12:19:34:838 -> Direction:0
12:19:34:838 -> Servo_pos:1
12:19:34:838 -> Direction:0
12:19:34:838 -> Servo_pos:1
12:19:34:838 -> Direction:0
12:19:34:838 -> Servo_pos:1
12:19:34:838 -> Direction:0
12:19:34:838 -> Servo_pos:1
12:19:34:838 -> Direction:0
12:19:34:838 -> Servo_pos:1
12:19:34:838 -> Direction:0
12:19:34:838 -> Servo_pos:1
12:19:34:840 -> Direction:0
12:19:34:840 -> Servo_pos:1
12:19:34:842 -> Direction:0
12:19:34:842 -> Servo_pos:1
12:19:34:842 -> Direction:0
12:19:34:845 -> Servo_pos:1
12:19:34:845 -> Direction:0
12:19:34:847 -> Servo_pos:1
12:19:34:847 -> Direction:0
